German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,she
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,on
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
Und,And
so,so
sind,are
von,of
dich,you
war,was
haben,to have
für,For
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,as
noch,still
dir,to you
uns,us
sich,themselves
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,As
als,when
bist,are
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,If
werden,will
Der,The
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
können,can
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
über,over
müssen,have to
diese,these
einfach,simple
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,for real
Hey,Hey
Danke,thanks
deine,yours
würde,would
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,a lot of
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
